topic,dashboard_city,dashboard_index,dashboard_name,component_id,component_index,component_name,chart_types,map_layer_count,map_layer_types,has_history,update_freq,source,use_case,short_desc,links,contributors
"圖資資訊","public","map-layers-taipei","圖資資訊","109","bike_lanes","自行車道","","0","","false","","交通局交工處","除可以在地圖頁面概覽臺北市自行車道與其相關資訊，也建議與其他組件之圖資套疊，在交叉比對中發掘洞見。","顯示臺北市當前市區與河濱自行車道分布。","https://data.taipei/dataset/detail?id=89202d05-0e3e-4781-a04f-45327bf12b30;https://data.taipei/dataset/detail?id=4fefd1b3-58b9-4dab-af00-724c715b0c58","doit"
"圖資資訊","public","map-layers-taipei","圖資資訊","91","bus_station","公車站","","0","","false","","交通局","除可以在地圖頁面概覽臺北市公車站與其相關資訊，也建議與其他組件之圖資套疊，在交叉比對中發掘洞見。","顯示臺北市當前公車站分布。","https://tdx.transportdata.tw/api-service/swagger/basic/30bc573f-0d73-47f2-ac3c-37c798b86d37#/Bus/TransportNetwork_03010","doit"
"圖資資訊","public","map-layers-taipei","圖資資訊","105","sidewalk","人行道分布","","0","","false","","工務局新工處","除可以在地圖頁面概覽臺北市人行道分布與其相關資訊，也建議與其他組件之圖資套疊，在交叉比對中發掘洞見。","顯示臺北市當前人行道分布。","https://data.taipei/dataset/detail?id=715d3a83-8445-4496-b6bf-b0900538b7e7","doit"
"圖資資訊","public","map-layers-taipei","圖資資訊","30","building_unsued","閒置市有財產","","0","","false","6 month","財政局","除可以在地圖頁面概覽臺北市閒置市有財產與其相關資訊，也建議與其他組件之圖資套疊，在交叉比對中發掘洞見。","顯示臺北市當前閒置市有財產。","https://data.taipei/dataset/detail?id=020bc1fc-34ff-4caa-ab1b-4267bd0bf386;https://data.taipei/dataset/detail?id=feaa5be3-0c43-4f0b-a46f-8a57cfd75d7a;https://data.taipei/dataset/detail?id=1cebd2e1-df54-4508-97f7-3217753c6d32","doit"
"圖資資訊","public","map-layers-taipei","圖資資訊","115","soil_liquefaction","土壤液化潛勢","","0","","false","","工務局","除可以在地圖頁面概覽臺北市土壤液化潛勢與其相關資訊，也建議與其他組件之圖資套疊，在交叉比對中發掘洞見。","顯示臺北市當前高、中、低土壤液化潛勢地區。","https://data.taipei/dataset/detail?id=ec40e067-930f-4058-b7dc-71399d5f3147","doit"
"圖資資訊","public","map-layers-taipei","圖資資訊","16","slope_area_risk","山坡地風險地點","","0","","false","10 year","工務局","除可以在地圖頁面概覽臺北市山坡地風險地點與其相關資訊，也建議與其他組件之圖資套疊，在交叉比對中發掘洞見。","顯示臺北市當前較有災害風險的山坡地區。","https://data.taipei/dataset/detail?id=7945f811-9b77-4d89-92ec-d94c827888ca","doit"
"圖資資訊","public","map-layers-taipei","圖資資訊","9","police_facility","警察相關設施","","0","","false","1 month","警察局","除可以在地圖頁面概覽臺北市警察相關設施與其相關資訊，也建議與其他組件之圖資套疊，在交叉比對中發掘洞見。","顯示臺北市當前各警察局點位與轄區。","https://data.taipei/dataset/detail?id=6c41536a-3ce2-4102-bdfc-6b5f3d13ef91","doit"
"圖資資訊","public","map-layers-taipei","圖資資訊","11","designate","緊急避難設施","","0","","false","","社會局","除可以在地圖頁面概覽臺北市緊急避難設施與其相關資訊，也建議與其他組件之圖資套疊，在交叉比對中發掘洞見。","顯示臺北市當前各避難所點位與可收容人數。","https://data.taipei/dataset/detail?id=f327232d-9230-44d0-bf0c-df151802da32","doit"
"圖資資訊","public","map-layers-taipei","圖資資訊","14","patrol_fireriskarea","火災風險地點","","0","","false","1 month","消防局","除可以在地圖頁面概覽臺北市火災風險地點與其相關資訊，也建議與其他組件之圖資套疊，在交叉比對中發掘洞見。","顯示臺北市當前安檢不合格場所與救災搶救困難地區。","https://data.taipei/dataset/detail?id=871874fc-c3b8-4752-aa56-76101395589d;https://data.taipei/dataset/detail?id=0f322478-e09b-46af-8019-caeaa79678d7","doit"
"圖資資訊","public","map-layers-taipei","圖資資訊","15","fire_respondent","火災應變設施","","0","","false","6 month","消防局","除可以在地圖頁面概覽臺北市火災應變設施與其相關資訊，也建議與其他組件之圖資套疊，在交叉比對中發掘洞見。","顯示臺北市當前各消防隊與消防栓點位資訊。","https://data.taipei/dataset/detail?id=a9fa2045-f7a6-4e16-ad26-577748064cdf;https://data.taipei/dataset/detail?id=679a0801-8cb0-4c64-91ad-952c1b9e5e84","doit"
